City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Aykhal,RU,54.81,light rain,66.0,111.5,
230,Lokosovo,RU,61.41,scattered clouds,61.1333,74.8167,
231,Oyotun,PE,71.1,overcast clouds,-6.8519,-79.3036,Hotel Campos
232,Tokmak,UA,74.39,scattered clouds,47.2514,35.7058,Дом приезжих
233,Maragogi,BR,73.06,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
235,Severobaykalsk,RU,55.36,broken clouds,55.65,109.3167,Hostel03RUS
236,Sitka,US,60.69,light rain,57.0531,-135.33,Westmark Sitka
237,Sinjar,IQ,80.19,clear sky,36.3209,41.8754,زوماني فون 1
238,Hun,LY,77.68,clear sky,29.1268,15.9477,Alrwasi Hotel
239,Urusha,RU,56.08,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
240,Deputatskiy,RU,64.89,overcast clouds,69.3,139.9,Baza Otdykha
241,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
242,Lagoa,PT,70.57,clear sky,39.05,-27.9833,Casa Das Faias
243,Wukari,NG,72.66,light rain,7.85,9.7833,Elimtop
244,Zhaotong,CN,71.29,overcast clouds,27.3167,103.7167,Jingguan Home
245,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
246,Saint-Leu,RE,66.31,clear sky,-21.15,55.2833,La Caz Oceane
247,Saldanha,ZA,55.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
249,Kibala,TD,75.15,light rain,9.1104,18.3463,Prasant Hotels
250,Den Helder,NL,66.18,clear sky,52.9599,4.7593,Hotel Den Helder
251,El Calvario,GT,63.93,overcast clouds,14.1167,-89.9167,FINCA LOS ABUELOS
252,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
253,Qaqortoq,GL,45.73,overcast clouds,60.7167,-46.0333,Siniffik Inn
254,Noumea,NC,73.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
255,Kariba,ZW,62.19,clear sky,-16.5167,28.8,Caribbea Bay Hotel
256,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
257,Sorong,ID,83.07,few clouds,-0.8833,131.25,Waigo Splash Hotel
258,Langxiang,CN,65.59,overcast clouds,46.95,128.8833,Pearl Hotel
