City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Leh,IN,2022-08-10 21:55:30,34.1667,77.5833,67.08,49,82,4.7
111,Rincon,US,2022-08-10 21:52:20,32.296,-81.2354,89.56,53,100,4.14
112,Augusto Correa,BR,2022-08-10 21:55:31,-1.0217,-46.635,76.64,86,94,4.9
113,Mataura,NZ,2022-08-10 21:55:31,-46.1927,168.8643,44.47,89,49,2.75
114,Egvekinot,RU,2022-08-10 21:55:32,66.3167,-179.1667,58.96,68,0,3.96
115,Cabo San Lucas,MX,2022-08-10 21:55:32,22.8909,-109.9124,95.61,64,75,6.91
116,Phayakkhaphum Phisai,TH,2022-08-10 21:55:32,15.5163,103.1937,79.41,91,100,9.08
117,Senneterre,CA,2022-08-10 21:55:33,48.3835,-77.2328,61.61,97,94,7.52
118,Airai,TL,2022-08-10 21:55:33,-8.9266,125.4092,56.95,62,50,2.1
119,Mayor Pablo Lagerenza,PY,2022-08-10 21:55:33,-19.9309,-60.7718,63.07,30,0,4.59
120,Pokhara,NP,2022-08-10 21:55:34,28.2333,83.9833,69.28,94,100,8.16
121,Nizhniy Kuranakh,RU,2022-08-10 21:55:34,58.8353,125.4869,54.0,98,100,2.55
122,Limulunga,ZM,2022-08-10 21:55:35,-15.0969,23.1376,59.83,24,0,5.39
123,Chuy,UY,2022-08-10 21:55:35,-33.6971,-53.4616,48.15,86,5,5.59
124,Luanda,AO,2022-08-10 21:55:36,-8.8368,13.2343,66.56,90,0,6.62
125,Komsomolskiy,UZ,2022-08-10 21:55:36,40.4272,71.7189,79.52,36,52,4.61
126,Elektrostal,RU,2022-08-10 21:55:37,55.7919,38.4422,60.22,79,79,5.57
127,Ponta Delgada,PT,2022-08-10 21:55:37,37.7333,-25.6667,73.51,73,20,9.22
128,Hof,DE,2022-08-10 21:55:37,50.3167,11.9167,64.51,47,11,4.0
129,Alofi,NU,2022-08-10 21:55:38,-19.0595,-169.9187,76.89,78,75,10.36
130,Pozo Colorado,PY,2022-08-10 21:55:38,-23.4923,-58.7972,57.7,61,0,6.67
131,Inhambane,MZ,2022-08-10 21:55:39,-23.865,35.3833,69.19,85,0,7.18
132,Mizan Teferi,ET,2022-08-10 21:55:39,6.9833,35.5833,60.6,94,100,2.46
133,Nazca,PE,2022-08-10 21:55:40,-14.8333,-74.95,74.52,41,4,5.7
134,Fortuna,US,2022-08-10 21:55:40,40.5982,-124.1573,75.09,68,40,14.97
135,Brae,GB,2022-08-10 21:55:41,60.3964,-1.353,55.15,94,100,16.31
136,Umea,SE,2022-08-10 21:52:31,63.8284,20.2597,58.93,94,0,9.22
137,Mamlyutka,KZ,2022-08-10 21:55:41,54.9375,68.5394,59.7,89,15,7.31
138,Deputatskiy,RU,2022-08-10 21:55:41,69.3,139.9,58.14,64,93,1.52
139,Verkhoyansk,RU,2022-08-10 21:55:42,67.5447,133.385,65.55,56,7,1.88
140,Bethel,US,2022-08-10 21:55:42,41.3712,-73.414,87.73,57,1,4.83
141,Jalu,LY,2022-08-10 21:55:43,29.0331,21.5482,82.02,49,0,17.05
142,Cockburn Town,TC,2022-08-10 21:55:43,21.4612,-71.1419,81.48,78,4,18.61
143,Cauquenes,CL,2022-08-10 21:55:44,-35.9671,-72.3225,50.92,73,0,1.79
144,Gayeri,BF,2022-08-10 21:55:44,12.6497,0.4931,78.31,78,20,8.84
145,Sioux Lookout,CA,2022-08-10 21:55:44,50.1001,-91.917,66.72,48,92,9.6
146,Tautira,PF,2022-08-10 21:55:45,-17.7333,-149.15,77.13,73,83,13.67
147,Kihei,US,2022-08-10 21:55:45,20.785,-156.4656,82.85,83,1,1.92
148,Ixtapa,MX,2022-08-10 21:55:46,20.7,-105.2,82.22,84,92,4.05
149,Provideniya,RU,2022-08-10 21:55:46,64.3833,-173.3,50.36,93,0,4.47
150,Katsuura,JP,2022-08-10 21:55:46,35.1333,140.3,82.06,86,84,14.36
151,Dandong,CN,2022-08-10 21:55:47,40.1292,124.3947,64.92,82,3,2.59
152,Houlton,US,2022-08-10 21:55:47,46.1262,-67.8403,69.73,75,95,3.65
153,Tongchuan,CN,2022-08-10 21:55:48,35.0806,109.0897,74.7,83,83,1.74
154,Telenesti,MD,2022-08-10 21:55:48,47.4997,28.3656,61.63,85,82,7.43
155,Vasilyevo,RU,2022-08-10 21:55:48,55.836,48.6582,66.87,95,80,4.36
156,Gat,IL,2022-08-10 21:55:49,31.61,34.7642,79.48,100,2,2.66
157,Vostok,RU,2022-08-10 21:55:49,46.4856,135.8833,59.85,86,43,4.68
158,Broome,US,2022-08-10 21:55:50,42.2506,-75.833,81.18,59,38,3.0
159,Poum,NC,2022-08-10 21:55:50,-20.2333,164.0167,69.87,57,0,19.24
160,Torbay,CA,2022-08-10 21:55:51,47.6666,-52.7314,58.57,85,100,11.01
161,Gavle,SE,2022-08-10 21:55:51,60.6745,17.1417,67.37,76,98,1.99
162,Klamath Falls,US,2022-08-10 21:52:57,42.2249,-121.7817,83.97,15,0,4.0
163,Beringovskiy,RU,2022-08-10 21:55:52,63.05,179.3167,59.31,72,9,4.23
164,Kodiak,US,2022-08-10 21:55:52,57.79,-152.4072,52.12,98,100,6.22
165,Lasa,IT,2022-08-10 21:55:52,46.6166,10.7002,63.36,90,33,2.3
166,Lagoa,PT,2022-08-10 21:55:36,39.05,-27.9833,71.01,72,82,8.16
167,Obama,JP,2022-08-10 21:55:53,35.4958,135.746,83.95,86,100,7.52
168,San Patricio,US,2022-08-10 21:55:53,28.017,-97.5169,101.12,38,12,16.75
169,La Ronge,CA,2022-08-10 21:55:54,55.1001,-105.2842,64.45,46,16,7.38
170,Hilo,US,2022-08-10 21:55:07,19.7297,-155.09,89.28,71,66,1.99
171,Gazli,UZ,2022-08-10 21:55:54,40.1333,63.45,78.21,26,0,11.9
172,Mar Del Plata,AR,2022-08-10 21:55:55,-38.0023,-57.5575,53.94,64,0,6.91
173,Los Llanos De Aridane,ES,2022-08-10 21:55:55,28.6585,-17.9182,68.13,91,40,16.11
174,North Bend,US,2022-08-10 21:55:55,43.4065,-124.2243,78.24,56,0,12.66
175,Yakeshi,CN,2022-08-10 21:55:56,49.2833,120.7333,54.91,86,99,5.1
176,Antofagasta,CL,2022-08-10 21:55:43,-23.65,-70.4,58.28,77,21,4.81
177,Urengoy,RU,2022-08-10 21:55:56,65.9667,78.3667,52.0,69,100,7.47
178,Lulea,SE,2022-08-10 21:55:57,65.5842,22.1547,64.47,82,0,14.97
179,Samarai,PG,2022-08-10 21:55:57,-10.6167,150.6667,78.28,76,89,17.29
180,Kavaratti,IN,2022-08-10 21:55:58,10.5669,72.642,81.28,83,71,21.72
181,Bluff,NZ,2022-08-10 21:55:58,-46.6,168.3333,44.8,67,74,8.28
182,Lavrentiya,RU,2022-08-10 21:55:58,65.5833,-171.0,50.77,75,100,4.29
183,Vila Do Maio,CV,2022-08-10 21:55:59,15.1333,-23.2167,81.39,84,72,13.53
184,East London,ZA,2022-08-10 21:55:59,-33.0153,27.9116,61.54,78,81,3.91
185,Sao Filipe,CV,2022-08-10 21:56:00,14.8961,-24.4956,78.35,87,68,8.79
186,Nueve De Julio,AR,2022-08-10 21:56:00,-35.4444,-60.8831,54.97,56,59,4.0
187,Riyadh,SA,2022-08-10 21:56:01,24.6877,46.7219,102.34,15,84,12.95
188,Burns Lake,CA,2022-08-10 21:56:01,54.2331,-125.7533,85.57,23,0,4.97
189,Stebnyk,UA,2022-08-10 21:56:02,49.2942,23.5636,56.75,76,68,2.08
190,Tutoia,BR,2022-08-10 21:56:02,-2.7619,-42.2744,78.84,80,4,12.71
191,Ko Samui,TH,2022-08-10 21:56:02,9.5357,99.9357,82.13,75,100,17.13
192,Villa Bruzual,VE,2022-08-10 21:56:03,9.3328,-69.1208,72.43,97,100,5.3
193,Kapaa,US,2022-08-10 21:55:33,22.0752,-159.319,83.19,75,28,4.0
194,Fairbanks,US,2022-08-10 21:55:59,64.8378,-147.7164,63.61,53,0,1.01
195,Thompson,CA,2022-08-10 21:56:04,55.7435,-97.8558,73.11,30,41,5.95
196,Tuktoyaktuk,CA,2022-08-10 21:56:04,69.4541,-133.0374,47.43,75,100,18.63
197,Chapais,CA,2022-08-10 21:56:04,49.7834,-74.8492,72.72,48,39,9.15
198,Sao Joao Da Barra,BR,2022-08-10 21:56:05,-21.6403,-41.0511,77.09,80,100,10.76
199,Anjiang,CN,2022-08-10 21:56:05,27.3194,110.1031,77.07,83,84,1.81
200,Mount Isa,AU,2022-08-10 21:56:05,-20.7333,139.5,64.0,34,0,7.25
201,Henties Bay,NA,2022-08-10 21:56:06,-22.116,14.2845,53.87,92,0,9.24
202,Makeni,SL,2022-08-10 21:56:06,8.8833,-12.05,73.31,98,100,2.35
203,Ilhabela,BR,2022-08-10 21:56:07,-23.7781,-45.3581,66.72,51,1,18.28
204,Fukue,JP,2022-08-10 21:56:07,32.6881,128.8419,83.41,77,100,12.57
205,Najran,SA,2022-08-10 21:56:08,17.4924,44.1277,84.85,31,92,2.75
206,Georgiyevka,KZ,2022-08-10 21:56:08,43.0369,74.7114,60.84,82,20,4.47
207,Manacapuru,BR,2022-08-10 21:56:08,-3.2997,-60.6206,85.42,50,7,3.47
208,Tasiilaq,GL,2022-08-10 21:56:09,65.6145,-37.6368,36.39,77,100,6.22
209,Grand Gaube,MU,2022-08-10 21:56:09,-20.0064,57.6608,68.38,62,92,10.0
